pos,timestamps,availabilty
0,2022-08-29 17:18:21.821508,0
1,2022-08-29 17:18:21.821508,0
2,2022-08-29 17:18:21.821508,0
0,2022-08-29 17:18:51.896981,1
1,2022-08-29 17:18:51.896981,0
2,2022-08-29 17:18:51.896981,1
0,2022-08-29 17:19:21.928141,1
1,2022-08-29 17:19:21.928141,0
2,2022-08-29 17:19:21.928141,1
0,2022-08-29 17:19:40.821464,1
1,2022-08-29 17:19:40.821464,0
2,2022-08-29 17:19:40.821464,1
